condition,budget,benchmark,N_records,N_clusters,backend_count,umr_f1,umr_f1_ci_low,umr_f1_ci_high,umr_f1_n,hbps,hbps_ci_low,hbps_ci_high,hbps_n,task_score,task_score_ci_low,task_score_ci_high,task_score_n
privacy_checker,2,PersonaMem-v2,384,128,3,0.3382871953125,0.3155669694661458,0.3625812858723958,128,0.15104159895833336,0.11805549212239583,0.1883679716796875,128,0.6640625,0.5911458333333334,0.734375,128
privacy_checker,4,ETAPP_150x32,384,128,3,0.25116419791666666,0.22621592506510416,0.2771729411458333,128,0.41929976822916665,0.36117079622395837,0.48402775091145833,128,0.117640296875,0.09304120638020834,0.14251932174479168,128
privacy_checker,4,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.018229166666666668,0.0,0.04427083333333333,128,0.05296100260416667,0.044548561393229165,0.06168230546874998,128,0.09518277083333333,0.056719762109374995,0.13801059140625002,128
privacy_checker,4,PersonaLens,384,128,3,0.08811122916666667,0.0720324607421875,0.1045795640625,128,0.3002600703125,0.28337817975260415,0.3173510133463541,128,0.2726999505208333,0.2453478559244792,0.30082504225260415,128
privacy_checker,4,PersonaMem-v2,384,128,3,0.3504290807291667,0.3259914485026042,0.3747325142578125,128,0.10590271354166667,0.07986107272135416,0.13368047923177084,128,0.6640625,0.5910807291666667,0.7369791666666667,128
privacy_checker,8,ETAPP_150x32,384,128,3,0.3314809869791666,0.30477893164062503,0.3572025146484374,128,0.44386573697916665,0.38525098242187505,0.5051233323567708,128,0.117640296875,0.09287950794270833,0.1433961494140625,128
privacy_checker,8,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.018229166666666668,0.0026041666666666665,0.0390625,128,0.05251208072916667,0.04478272701822916,0.06082450071614583,128,0.09518277083333333,0.057671577539062505,0.13686902330729164,128
privacy_checker,8,PersonaLens,384,128,3,0.3592051927083333,0.3310862430989584,0.3860034666666667,128,0.30688447916666667,0.28996831419270835,0.3250055322265624,128,0.2726999505208333,0.24504973795572915,0.3011852263020833,128
privacy_checker,8,PersonaMem-v2,384,128,3,0.29849284635416673,0.274532345703125,0.3228987244140625,128,0.0798610625,0.05815968489583333,0.0998480369140624,128,0.6640625,0.5859375,0.7395833333333334,128
privacy_checker,16,ETAPP_150x32,384,128,3,0.42083369791666664,0.40101730260416674,0.4409538224609375,128,0.5110966406249999,0.454784051171875,0.5681568307942708,128,0.117640296875,0.09409251139322918,0.14430390156249998,128
privacy_checker,16,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.033854166666666664,0.013020833333333332,0.05989583333333333,128,0.0551298203125,0.04736066399739583,0.06332013919270832,128,0.09518277083333333,0.05586844537760416,0.14331458111979165,128
privacy_checker,16,PersonaLens,384,128,3,0.5033094479166667,0.47559865878906254,0.5316410708984376,128,0.3082536276041667,0.2913907374348958,0.3250592788411458,128,0.2726999505208333,0.2441918126302083,0.30051563365885414,128
privacy_checker,16,PersonaMem-v2,384,128,3,0.324323625,0.30043661848958336,0.34785177740885415,128,0.09114578385416666,0.06770828639322916,0.11631939075520834,128,0.6640625,0.5859375,0.7421875,128
stateful_counterfactual,0,ETAPP_150x32,384,128,3,0.296796046875,0.2680909981119792,0.3248615169921875,128,0.49487844010416665,0.4357483309895833,0.5556810235677083,128,0.3557213958333333,0.3161094626953125,0.39989704446614577,128
stateful_counterfactual,0,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.0078125,0.0,0.0234375,128,0.08791247395833335,0.07426895123697917,0.10268267395833332,128,0.2883844479166667,0.2270041608072917,0.3503485527994792,128
stateful_counterfactual,0,PersonaLens,384,128,3,0.0,0.0,0.0,128,0.0,0.0,0.0,128,0.15500677864583334,0.1263694482421875,0.18264623951822917,128
stateful_counterfactual,0,PersonaMem-v2,384,128,3,0.0,0.0,0.0,128,0.0,0.0,0.0,128,0.4817708333333333,0.3958333333333333,0.565169270833333,128
stateful_counterfactual,1,ETAPP_150x32,384,128,3,0.31120580208333337,0.28677752747395835,0.33490141178385413,128,0.5161458020833334,0.4578226154296875,0.5735116211588541,128,0.3557213958333333,0.3155374151692708,0.39966282317708335,128
stateful_counterfactual,1,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.0078125,0.0,0.0234375,128,0.09115139583333333,0.07732229772135416,0.10623048632812498,128,0.2883844479166667,0.22806829466145834,0.3506622207682291,128
stateful_counterfactual,1,PersonaLens,384,128,3,0.010666828125,0.006118296614583334,0.015723624934895833,128,0.16804131249999998,0.14125362259114582,0.19651303528645828,128,0.15500677864583334,0.128562465234375,0.18456971490885415,128
stateful_counterfactual,1,PersonaMem-v2,384,128,3,0.3488250885416667,0.323937578125,0.3725824590494792,128,0.158854109375,0.12326383326822918,0.19965270605468752,128,0.4817708333333333,0.39316406249999997,0.5703125,128
stateful_counterfactual,2,ETAPP_150x32,384,128,3,0.3241720677083334,0.29639938919270836,0.35029253938802085,128,0.5317708046875,0.47279256197916664,0.5906741517578125,128,0.3557213958333333,0.314289056640625,0.39830209765624996,128
stateful_counterfactual,2,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.0078125,0.0,0.0234375,128,0.07787598958333333,0.06509782350260417,0.09066809986979166,128,0.2883844479166667,0.22859417421875003,0.3527788697916666,128
stateful_counterfactual,2,PersonaLens,384,128,3,0.0205526171875,0.014270553450520834,0.027381374023437485,128,0.22080494270833334,0.19370095514322913,0.24730034778645832,128,0.15500677864583334,0.12708620475260418,0.18456149733072913,128
stateful_counterfactual,2,PersonaMem-v2,384,128,3,0.3489313203125,0.32571698515625,0.37397549772135413,128,0.146701328125,0.11195738053385416,0.18315963847656253,128,0.4817708333333333,0.39583333333333337,0.5677083333333333,128
stateful_counterfactual,4,ETAPP_150x32,384,128,3,0.3045151822916667,0.28053710748697913,0.32829215755208335,128,0.5464409427083333,0.4852064757161458,0.6099247552734375,128,0.3557213958333333,0.315948674609375,0.39966123880208326,128
stateful_counterfactual,4,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.009114583333333334,0.0,0.02734375,128,0.07336516666666668,0.06202183424479167,0.084508561328125,128,0.2883844479166667,0.22695744973958332,0.350653840234375,128
stateful_counterfactual,4,PersonaLens,384,128,3,0.025011950520833333,0.018624551171875,0.03154148821614583,128,0.33640154427083335,0.320278194140625,0.35220734401041665,128,0.15500677864583334,0.12762764095052084,0.18343270416666665,128
stateful_counterfactual,4,PersonaMem-v2,384,128,3,0.3012099869791667,0.27654535618489584,0.32512727317708334,128,0.1345485625,0.10069440345052084,0.1718749453125,128,0.4817708333333333,0.39583333333333337,0.5677083333333333,128
stateful_counterfactual,8,ETAPP_150x32,384,128,3,0.28606797916666665,0.266409101953125,0.306180370703125,128,0.5466579583333333,0.48629338203125,0.6074095399739583,128,0.3557213958333333,0.31701747369791666,0.39782052486979164,128
stateful_counterfactual,8,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.014322916666666668,0.0013020833333333333,0.033854166666666664,128,0.07309884635416666,0.0626026447265625,0.08443299368489582,128,0.2883844479166667,0.22835801223958335,0.3563767317708333,128
stateful_counterfactual,8,PersonaLens,384,128,3,0.03739937239583333,0.030491233919270833,0.044752759570312495,128,0.3569663515625,0.3425118044921875,0.37051778177083333,128,0.15500677864583334,0.1272767935546875,0.18402003743489584,128
stateful_counterfactual,8,PersonaMem-v2,384,128,3,0.2892349765625001,0.2665700482421875,0.31277754394531254,128,0.127604109375,0.094618012890625,0.16319438307291664,128,0.4817708333333333,0.39583333333333337,0.5677734374999996,128
stateful_counterfactual,16,ETAPP_150x32,384,128,3,0.2800511484375,0.2645535575520833,0.2964914007161458,128,0.5466579583333333,0.4882841037760417,0.6031105003255208,128,0.3557213958333333,0.3148371426432292,0.3966525413411458,128
stateful_counterfactual,16,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.03689236197916666,0.013888890625,0.06554904602864578,128,0.07097858854166667,0.06078937649739584,0.08083826386718747,128,0.2883844479166667,0.22606390273437502,0.351365710546875,128
stateful_counterfactual,16,PersonaLens,384,128,3,0.17242966927083334,0.15298038476562498,0.192125384375,128,0.3569663515625,0.34264238899739585,0.3706953535807292,128,0.15500677864583334,0.125839871484375,0.18230370123697917,128
